Dataset,Kaggle Slug,Type,Root Path,CSV Path,Images Folder,Label Column,Image Column,Classes,Num Classes,Total Images,Resolution,Avg Size (MB),Per-Class Image Counts
ODIR-5K,andrewmvd/ocular-disease-recognition-odir5k,csv_based,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k/full_df.csv,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k/ODIR-5K/ODIR-5K/Training Images,labels,filename,N | D | G | C | A | H | M | O,8,6392,512x512,0.059,A:266 | C:293 | D:1608 | G:284 | H:128 | M:232 | N:2873 | O:708
Combined Fundus Images,rohitrawat25/combined-fundus-images,csv_based,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset/label_images.csv,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset/images,label,images,N | D | G | C | A | H | M | O,8,9868,512x512,0.11,A:708 | C:897 | D:1608 | G:1071 | H:430 | M:1036 | N:3230 | O:888
Ocular Disease Dataset (manan1717),manan1717/ocular-disease-dataset,folder_based,/kaggle/input/datasets/manan1717/ocular-disease-dataset/preprocessed,,/kaggle/input/datasets/manan1717/ocular-disease-dataset/preprocessed,,,A | C | D | G | H | M | N,7,10449,Variable (22+ unique; 512x512 to 1266x1265),0.376,A:511 | C:1008 | D:3128 | G:1646 | H:420 | M:739 | N:2997
eye-diseases-classification,fahadhasan93/eye-diseases-classification,folder_based,/kaggle/input/datasets/fahadhasan93/eye-diseases-classification/dataset,,/kaggle/input/datasets/fahadhasan93/eye-diseases-classification/dataset,,,cataract | diabetic_retinopathy | glaucoma | normal,4,4217,Variable (5 unique; 256x256 to 2592x1728),0.175,cataract:1038 | diabetic_retinopathy:1098 | glaucoma:1007 | normal:1074
Eye Diseases (belalsafy),belalsafy/eye-diseases,folder_based,/kaggle/input/datasets/belalsafy/eye-diseases/dataset,,/kaggle/input/datasets/belalsafy/eye-diseases/dataset,,,Age related Macular Degeneration | Cataract | Diabetes | Glaucoma | Hypertension | Normal | Other diseases | Pathological Myopia,8,8230,Variable (15+ unique; 1280x960 to 1677x1472),0.193,Age related Macular Degeneration:328 | Cataract:424 | Diabetes:2256 | Glaucoma:430 | Hypertension:206 | Normal:2280 | Other diseases:1958 | Pathological Myopia:348
eye diseases (mohamedgamal295),mohamedgamal295/eye-diseases,folder_based,/kaggle/input/datasets/mohamedgamal295/eye-diseases/dataset,,/kaggle/input/datasets/mohamedgamal295/eye-diseases/dataset,,,cataract | diabetic_retinopathy | glaucoma | normal | retina_disease,5,4317,Variable (5 unique; 256x256 to 2592x1728),0.237,cataract:1038 | diabetic_retinopathy:1098 | glaucoma:1007 | normal:1074 | retina_disease:100
eye diseases 2,mohamedgamal295/eye-diseases-2,folder_based,/kaggle/input/datasets/mohamedgamal295/eye-diseases-2/eye diseases,,/kaggle/input/datasets/mohamedgamal295/eye-diseases-2/eye diseases,,,cataract | diabetic_retinopathy | glaucoma | normal,4,4217,Variable (5 unique; 256x256 to 2592x1728),0.175,cataract:1038 | diabetic_retinopathy:1098 | glaucoma:1007 | normal:1074
Eye diseases (aealemran),aealemran/eye-diseases,folder_based,/kaggle/input/datasets/aealemran/eye-diseases/Eye diseases,,/kaggle/input/datasets/aealemran/eye-diseases/Eye diseases,,,Color Fundus | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,9160,640x640,0.027,Color Fundus:348 | Diabetic Retinopathy:2047 | Disc Edema:450 | Glaucoma:1588 | Healthy:1468 | Macular Scar:1033 | Myopia:1244 | Pterygium:60 | Retinal Detachment:446 | Retinitis Pigmentosa:476
Eye-fundus10,ermano123/eye-fundus10,folder_based,/kaggle/input/datasets/ermano123/eye-fundus10/eye,,/kaggle/input/datasets/ermano123/eye-fundus10/eye/train,,,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,11364,224x224,0.006,Central Serous Chorioretinopathy:424 | Diabetic Retinopathy:2410 | Disc Edema:533 | Glaucoma:2015 | Healthy:1873 | Macular Scar:1355 | Myopia:1575 | Pterygium:71 | Retinal Detachment:525 | Retinitis Pigmentosa:583
Eye Disease Detection,h100gpu/eye-disease-detection,folder_based,/kaggle/input/datasets/h100gpu/eye-disease-detection/Dataset,,/kaggle/input/datasets/h100gpu/eye-disease-detection/Dataset/train,,,amd | cataract | diabetes | glaucoma | normal,5,1989,Variable (20+ unique; 512x512 to 1285x1396),0.243,amd:394 | cataract:400 | diabetes:400 | glaucoma:385 | normal:410
Ocular Fundus Image,mdeconozzamanecon/ocular-disease,folder_based,/kaggle/input/datasets/mdeconozzamanecon/ocular-disease/augmented,,/kaggle/input/datasets/mdeconozzamanecon/ocular-disease/augmented,,,Retinoblastoma | cataract | glaucoma | normal,4,4952,Variable (11+ unique; 130x130 to 1848x2592),1.258,Retinoblastoma:1238 | cataract:1238 | glaucoma:1238 | normal:1238
Processed Eye Dataset V2,mohammadsadman21/processed-eye-dataset-v2,folder_based,/kaggle/input/datasets/mohammadsadman21/processed-eye-dataset-v2/Eye_Disease_Images_dataset/Augmented,,/kaggle/input/datasets/mohammadsadman21/processed-eye-dataset-v2/Eye_Disease_Images_dataset/Augmented,,,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,16242,512x512,0.034,Central Serous Chorioretinopathy:606 | Diabetic Retinopathy:3444 | Disc Edema:762 | Glaucoma:2880 | Healthy:2676 | Macular Scar:1937 | Myopia:2251 | Pterygium:102 | Retinal Detachment:750 | Retinitis Pigmentosa:834
