Dataset,Kaggle Slug,Type,Root Path,CSV Path,Images Folder,Label Column,Image Column,Classes,Num Classes,Total Images,Resolution,Avg Size (MB)
ODIR-5K,andrewmvd/ocular-disease-recognition-odir5k,csv_based,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k/full_df.csv,/kaggle/input/datasets/andrewmvd/ocular-disease-recognition-odir5k/ODIR-5K/ODIR-5K/Training Images,labels,filename,N | D | G | C | A | H | M | O,8,6392,512x512,0.059
Combined Fundus Images,rohitrawat25/combined-fundus-images,csv_based,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset/label_images.csv,/kaggle/input/datasets/rohitrawat25/combined-fundus-images/Dataset/images,label,images,N | D | G | C | A | H | M | O,8,,,
Ocular Disease Dataset (manan1717),manan1717/ocular-disease-dataset,folder_based,/kaggle/input/datasets/manan1717/ocular-disease-dataset/preprocessed,,/kaggle/input/datasets/manan1717/ocular-disease-dataset/preprocessed,,,A | C | D | G | H | M | N,7,,,
eye-diseases-classification,fahadhasan93/eye-diseases-classification,folder_based,/kaggle/input/datasets/fahadhasan93/eye-diseases-classification/dataset,,/kaggle/input/datasets/fahadhasan93/eye-diseases-classification/dataset,,,cataract | diabetic_retinopathy | glaucoma | normal,4,,,
Eye Diseases (belalsafy),belalsafy/eye-diseases,folder_based,/kaggle/input/datasets/belalsafy/eye-diseases/dataset,,/kaggle/input/datasets/belalsafy/eye-diseases/dataset,,,Age related Macular Degeneration | Cataract | Diabetes | Glaucoma | Hypertension | Normal | Other diseases | Pathological Myopia,8,,,
eye diseases (mohamedgamal295),mohamedgamal295/eye-diseases,folder_based,/kaggle/input/datasets/mohamedgamal295/eye-diseases/dataset,,/kaggle/input/datasets/mohamedgamal295/eye-diseases/dataset,,,cataract | diabetic_retinopathy | glaucoma | normal | retina_disease,5,,,
eye diseases 2,mohamedgamal295/eye-diseases-2,folder_based,/kaggle/input/datasets/mohamedgamal295/eye-diseases-2/eye diseases,,/kaggle/input/datasets/mohamedgamal295/eye-diseases-2/eye diseases,,,cataract | diabetic_retinopathy | glaucoma | normal,4,,,
Eye diseases (aealemran),aealemran/eye-diseases,folder_based,/kaggle/input/datasets/aealemran/eye-diseases/Eye diseases,,/kaggle/input/datasets/aealemran/eye-diseases/Eye diseases,,,Color Fundus | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,,,
Eye-fundus10,ermano123/eye-fundus10,folder_based,/kaggle/input/datasets/ermano123/eye-fundus10/eye,,/kaggle/input/datasets/ermano123/eye-fundus10/eye/train,,,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,,,
Eye Disease Detection,h100gpu/eye-disease-detection,folder_based,/kaggle/input/datasets/h100gpu/eye-disease-detection/Dataset,,/kaggle/input/datasets/h100gpu/eye-disease-detection/Dataset/train,,,amd | cataract | diabetes | glaucoma | normal,5,,,
Ocular Fundus Image,mdeconozzamanecon/ocular-disease,folder_based,/kaggle/input/datasets/mdeconozzamanecon/ocular-disease/augmented,,/kaggle/input/datasets/mdeconozzamanecon/ocular-disease/augmented,,,Retinoblastoma | cataract | glaucoma | normal,4,,,
Processed Eye Dataset V2,mohammadsadman21/processed-eye-dataset-v2,folder_based,/kaggle/input/datasets/mohammadsadman21/processed-eye-dataset-v2/Eye_Disease_Images_dataset/Augmented,,/kaggle/input/datasets/mohammadsadman21/processed-eye-dataset-v2/Eye_Disease_Images_dataset/Augmented,,,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,10,,,
preprocessed_eye_diseases_fundus_images,gunavenkatdoddi/preprocessed-eye-diseases-fundus-images,folder_based,/kaggle/input/datasets/gunavenkatdoddi/preprocessed-eye-diseases-fundus-images/seg_dataset,,/kaggle/input/datasets/gunavenkatdoddi/preprocessed-eye-diseases-fundus-images/seg_dataset,,,cataract | diabetic_retinopathy | glaucoma | normal,4,,,
